Scrip,Company,Symbol
531548,Somany Ceramics Ltd,SOMANYCERA.BO
532221,Sonata Software Ltd,SONATSOFTW.BO
532218,South Indian Bank Ltd,SOUTHBANK.BO
500285,SpiceJet Ltd.,SPICEJET.BO
523756,SREI Infrastructure Finance Ltd,SREINFRA.BO
503806,SRF Ltd,SRF.BO
540575,Star Cement Ltd,STARCEMENT.BO
500112,State Bank of India,SBIN.BO
500113,Steel Authority of India Ltd,SAIL.BO
532374,Sterlite Technologies Ltd.,STRTECH.BO
532531,Strides Pharma Science Ltd,STAR.BO
506655,Sudarshan Chemical Industries,SUDARSHANCHEM.BO
532872,Sun Pharma Advanced Research Co Ltd,SPARC.BO
524715,Sun Pharmaceutical Industries Ltd,SUNPHARMA.BO
532733,Sun TV Network Ltd,SUNTV.BO
520056,Sundaram Clayton Ltd,SUNCLAYLTD.BO
500403,Sundaram Fastners,SUNDRMFAST.BO
512179,Sunteck Realty Ltd,SUNTECK.BO
532509,Suprajit Engineering Ltd,SUPRAJIT.BO
509930,Supreme Industries,SUPREMEIND.BO
500405,Supreme Petrochem Ltd.,SUPPETRO.BO
530239,Suven Life Sciences Ltd,SUVEN.BO
532667,Suzlon Energy Ltd,SUZLON.BO
503310,Swan Energy Ltd.,SWANENERGY.BO
517385,Symphony Ltd,SYMPHONY.BO
532276,Syndicate Bank,SYNDIBANK.BO
539268,Syngene International Ltd,SYNGENE.BO
532890,Take Solutions Ltd,TAKE.BO
531426,Tamilnadu Newsprint & Papers,TNPL.BO
500770,Tata Chemicals Ltd,TATACHEM.BO
532301,Tata Coffee Ltd.,TATACOFFEE.BO
500483,Tata Communications Ltd,TATACOMM.BO
532540,Tata Consultancy Services Ltd,TCS.BO
500408,Tata Elxsi Ltd,TATAELXSI.BO
500800,Tata Global Beverages Ltd,TATAGLOBAL.BO
501301,Tata Investment Corp Ltd,TATAINVEST.BO
513434,Tata Metaliks Ltd.,TATAMETALI.BO
500570,Tata Motors Ltd,TATAMOTORS.BO
570001,Tata Motors Ltd DVR,TATAMTRDVR.BO
500400,Tata Power Co Ltd,TATAPOWER.BO
500470,Tata Steel Ltd,TATASTEEL.BO
539658,TeamLease Services Ltd,TEAMLEASE.BO
532755,Tech Mahindra Ltd,TECHM.BO
540595,Tejas Networks Ltd,TEJASNET.BO
500620,The Great Eastern Shipping Co Ltd,GESHIP.BO
540769,The New India Assurance Company Ltd,NIACL.BO
500411,Thermax Ltd,THERMAX.BO
500413,Thomas Cook (India) Ltd,THOMASCOOK.BO
539871,Thyrocare Technologies Ltd,THYROCARE.BO
504973,TI Financial Holdings Ltd.,TIFHL.BO
532856,Time Technoplast Ltd.,TIMETECHNO.BO
522113,Timken India Ltd.,TIMKEN.BO
500114,Titan Co Ltd,TITAN.BO
500420,Torrent Pharmaceuticals Ltd,TORNTPHARM.BO
532779,Torrent Power Ltd,TORNTPOWER.BO
500251,Trent Ltd.,TRENT.BO
521064,Trident Ltd.,TRIDENT.BO
533655,Triveni Turbine Limited,TRITURBINE.BO
517506,TTK Prestige Ltd,TTKPRESTIG.BO
540762,Tube Investments Of India,TIINDIA.BO
532515,TV Today Network,TVTODAY.BO
532800,TV18 Broadcast Ltd,TV18BRDCST.BO
532343,TVS Motor Co Ltd,TVSMOTOR.BO
509243,TVS Srichakra Ltd,TVSSRICHAK.BO
532505,UCO Bank,UCOBANK.BO
500148,Uflex Ltd,UFLEX.BO
539874,Ujjivan Financial Services Ltd,UJJIVAN.BO
532538,UltraTech Cement Ltd,ULTRACEMCO.BO
532477,Union Bank of India,UNIONBANK.BO
532478,United Breweries Ltd,UBL.BO
512070,UPL Ltd,UPL.BO
533269,VA Tech Wabag Ltd,WABAG.BO
502986,Vardhman Textiles Ltd.,VTL.BO
540180,Varun Beverages Ltd,VBL.BO
500295,Vedanta Ltd,VEDL.BO
523261,Venky's India Ltd,VENKYS.BO
532953,V-Guard Industries Ltd,VGUARD.BO
532401,Vijaya Bank,VIJAYABANK.BO
524200,Vinati Organics Ltd,VINATIORGA.BO
507880,VIP Industries Ltd,VIPIND.BO
534976,V-Mart Retail Limited,VMART.BO
532822,Vodafone Idea Ltd,IDEA.BO
500575,Voltas Ltd,VOLTAS.BO
533023,WABCO India Ltd,WABCOINDIA.BO
532144,Welspun Corp Ltd,WELCORP.BO
514162,Welspun India Ltd.,WELSPUNIND.BO
505533,Westlife Development Ltd,WESTLIFE.BO
500238,Whirlpool of India Ltd,WHIRLPOOL.BO
507685,Wipro Ltd,WIPRO.BO
532300,Wockhardt Ltd,WOCKPHARMA.BO
532648,Yes Bank Ltd,YESBANK.BO
505537,Zee Entertainment Enterprises Ltd,ZEEL.BO
504067,Zensar Technologies Ltd,ZENSARTECH.BO
531335,Zydus Wellness Ltd,ZYDUSWELL.BO
